Time_h,Aeration_rate,Agitator_RPM,Sugar_feed,DO2,Penicillin_Conc,pH,Temperature,Fault_ref,PAT_ref,Batch_ref,Batch ID
28.8,55,100,37,12.493,0.46686,6.5376,298.03,0,1,0,23312
29.0,55,100,37,12.463,0.48508,6.5334,298.03,0,1,0,22895
29.2,55,100,37,12.448,0.50446,6.5124,298.03,0,1,0,23483
29.4,55,100,37,12.406,0.52479,6.4872,298.03,0,1,0,24077
29.6,55,100,37,12.41,0.54615,6.47,298.01,0,1,0,24175
29.8,55,100,37,12.39,0.5677,6.4706,298.02,0,1,0,23275
30.0,55,100,37,12.383,0.58969,6.4834,298.02,0,1,0,23376
30.2,55,100,37,13.224,0.61246,6.5019,298.02,0,1,0,23981
30.4,55,100,37,13.207,0.63558,6.5195,298.03,0,1,0,24088
30.6,55,100,37,13.162,0.65872,6.529,298.02,0,1,0,23696
30.8,55,100,37,13.116,0.68167,6.5256,298.02,0,1,0,24302
31.0,55,100,37,13.045,0.70427,6.509,298.02,0,1,0,24906
31.2,55,100,37,13.008,0.72684,6.4901,298.03,0,1,0,25011
31.4,55,100,37,12.972,0.74975,6.48,298.03,0,1,0,24617
31.6,55,100,37,12.98,0.77397,6.4817,298.02,0,1,0,24729
31.8,55,100,37,12.99,0.79883,6.4932,298.02,0,1,0,25345
32.0,55,100,37,12.968,0.82367,6.5059,298.01,0,1,0,24460
32.2,55,100,43,12.755,0.84346,6.5146,298.03,0,1,0,25551
32.4,55,100,43,12.7,0.86269,6.5151,298.05,0,1,0,25139
32.6,55,100,43,12.666,0.88244,6.5085,298.06,0,1,0,24729
32.8,55,100,43,12.659,0.90323,6.4977,298.07,0,1,0,25325
33.0,55,100,43,12.667,0.92505,6.4903,298.07,0,1,0,25425
33.2,55,100,43,12.684,0.94832,6.4867,298.06,0,1,0,26033
33.4,55,100,43,12.67,0.97227,6.4892,298.05,0,1,0,25144
33.6,55,100,43,12.679,0.99712,6.4973,298.04,0,1,0,25260
33.8,55,100,43,12.703,1.0234,6.5073,298.03,0,1,0,25382
34.0,55,100,43,12.686,1.0498,6.5142,298.02,0,1,0,25505
34.2,55,100,43,12.657,1.0764,6.5153,298.02,0,1,0,26129
34.4,55,100,43,12.622,1.103,6.5095,298.03,0,1,0,26753
34.6,55,100,43,12.589,1.1296,6.5021,298.04,0,1,0,26377
34.8,55,100,43,12.563,1.1566,6.495,298.04,0,1,0,27003
35.0,55,100,43,12.584,1.1845,6.4909,298.03,0,1,0,26634
35.2,55,100,43,12.599,1.2134,6.4918,298.04,0,1,0,26769
35.4,55,100,43,12.59,1.2425,6.4961,298.03,0,1,0,27405
35.6,55,100,43,12.564,1.2717,6.5045,298.03,0,1,0,26542
35.8,55,100,43,12.533,1.3012,6.5108,298.02,0,1,0,27680
36.0,55,100,43,12.538,1.3316,6.5124,298.0,0,1,0,26823
36.2,55,100,47,12.376,1.3596,6.5081,298.0,0,1,0,26954
36.4,55,100,47,12.384,1.3884,6.5004,298.01,0,1,0,27588
36.6,55,100,47,12.347,1.4172,6.4952,298.03,0,1,0,27723
36.8,55,100,47,12.338,1.4467,6.4941,298.03,0,1,0,28361
37.0,55,100,47,12.342,1.4771,6.4944,298.02,0,1,0,27504
37.2,55,100,47,12.341,1.5078,6.4986,298.02,0,1,0,28148
37.4,55,100,47,12.337,1.5395,6.503,298.02,0,1,0,27797
37.6,55,100,47,12.33,1.5719,6.5085,298.01,0,1,0,28449
37.8,55,100,47,12.27,1.6041,6.5085,298.0,0,1,0,28101
38.0,55,100,47,12.252,1.6367,6.505,297.99,0,1,0,28254
38.2,55,100,47,12.226,1.6694,6.4998,297.99,0,1,0,29408
38.4,55,100,47,12.212,1.7024,6.4962,298.0,0,1,0,29063
38.6,55,100,47,12.236,1.7364,6.4973,298.0,0,1,0,28723
38.8,55,100,47,12.211,1.7704,6.4999,298.0,0,1,0,29884
39.0,55,100,47,12.158,1.8042,6.5018,298.01,0,1,0,29043
39.2,55,100,47,12.168,1.8383,6.504,298.01,0,1,0,29703
39.4,55,100,47,12.165,1.8732,6.5046,298.0,0,1,0,29368
39.6,55,100,47,12.126,1.9078,6.504,298.01,0,1,0,30531
39.8,55,100,47,12.135,1.9427,6.5031,298.01,0,1,0,30196
40.0,55,100,47,12.101,1.9777,6.5004,298.0,0,1,0,30361
